time_s,displacement_pixels,displacement_cm,match_score
3.002755642478506015e+00,-5.000000000000000000e+01,-2.000000000000000000e+00,7.722691893577575684e-01
3.019437618270053303e+00,-5.000000000000000000e+01,-2.000000000000000000e+00,7.738133668899536133e-01
3.036119594061600591e+00,-5.100000000000000000e+01,-2.040000000000000036e+00,7.726387977600097656e-01
3.052801569853147878e+00,-5.100000000000000000e+01,-2.040000000000000036e+00,7.676846385002136230e-01
3.069483545644695166e+00,-4.700000000000000000e+01,-1.879999999999999893e+00,7.668039202690124512e-01
3.086165521436242454e+00,-4.900000000000000000e+01,-1.959999999999999964e+00,7.671274542808532715e-01
3.102847497227789741e+00,-5.100000000000000000e+01,-2.040000000000000036e+00,7.671538591384887695e-01
3.119529473019337029e+00,-4.100000000000000000e+01,-1.639999999999999902e+00,7.666573524475097656e-01
3.136211448810884317e+00,-4.200000000000000000e+01,-1.679999999999999938e+00,7.659884095191955566e-01
3.152893424602431605e+00,-5.200000000000000000e+01,-2.080000000000000071e+00,7.680369019508361816e-01
3.169575400393978892e+00,-5.200000000000000000e+01,-2.080000000000000071e+00,7.684110999107360840e-01
3.186257376185526180e+00,-5.200000000000000000e+01,-2.080000000000000071e+00,7.709320187568664551e-01
3.202939351977073468e+00,-5.200000000000000000e+01,-2.080000000000000071e+00,7.743593454360961914e-01
3.219621327768620755e+00,-5.200000000000000000e+01,-2.080000000000000071e+00,7.727353572845458984e-01
3.236303303560167599e+00,-5.200000000000000000e+01,-2.080000000000000071e+00,7.673168182373046875e-01
3.252985279351714887e+00,-5.200000000000000000e+01,-2.080000000000000071e+00,7.680326104164123535e-01
3.269667255143262174e+00,-5.300000000000000000e+01,-2.120000000000000107e+00,7.675999999046325684e-01
3.286349230934809462e+00,-5.300000000000000000e+01,-2.120000000000000107e+00,7.682508230209350586e-01
3.303031206726356750e+00,-5.300000000000000000e+01,-2.120000000000000107e+00,7.681484818458557129e-01
3.319713182517904038e+00,-5.300000000000000000e+01,-2.120000000000000107e+00,7.682119607925415039e-01
3.336395158309451325e+00,-5.300000000000000000e+01,-2.120000000000000107e+00,7.684152722358703613e-01
3.353077134100998613e+00,-5.300000000000000000e+01,-2.120000000000000107e+00,7.699970006942749023e-01
3.369759109892545901e+00,-5.300000000000000000e+01,-2.120000000000000107e+00,7.711835503578186035e-01
3.386441085684093188e+00,-5.300000000000000000e+01,-2.120000000000000107e+00,7.725794315338134766e-01
3.403123061475640476e+00,-5.300000000000000000e+01,-2.120000000000000107e+00,7.744456529617309570e-01
3.419805037267187764e+00,-5.400000000000000000e+01,-2.160000000000000142e+00,7.729390859603881836e-01
3.436487013058735052e+00,-5.400000000000000000e+01,-2.160000000000000142e+00,7.726680040359497070e-01
3.453168988850282339e+00,-5.400000000000000000e+01,-2.160000000000000142e+00,7.721976637840270996e-01
3.469850964641829183e+00,-5.400000000000000000e+01,-2.160000000000000142e+00,7.718707919120788574e-01
3.486532940433376471e+00,-5.400000000000000000e+01,-2.160000000000000142e+00,7.717033624649047852e-01
3.503214916224923758e+00,-5.400000000000000000e+01,-2.160000000000000142e+00,7.693672180175781250e-01
3.519896892016471046e+00,-5.400000000000000000e+01,-2.160000000000000142e+00,7.686004638671875000e-01
3.536578867808018334e+00,-5.400000000000000000e+01,-2.160000000000000142e+00,7.664033770561218262e-01
3.553260843599565622e+00,-5.300000000000000000e+01,-2.120000000000000107e+00,7.646862268447875977e-01
3.569942819391112909e+00,-5.300000000000000000e+01,-2.120000000000000107e+00,7.649489641189575195e-01
3.586624795182660197e+00,-5.300000000000000000e+01,-2.120000000000000107e+00,7.652123570442199707e-01
3.603306770974207485e+00,-5.400000000000000000e+01,-2.160000000000000142e+00,7.689620852470397949e-01
3.619988746765754772e+00,-5.500000000000000000e+01,-2.200000000000000178e+00,7.685295939445495605e-01
3.636670722557302060e+00,-5.500000000000000000e+01,-2.200000000000000178e+00,7.656932473182678223e-01
3.653352698348849348e+00,-5.500000000000000000e+01,-2.200000000000000178e+00,7.654957771301269531e-01
3.670034674140396636e+00,-5.500000000000000000e+01,-2.200000000000000178e+00,7.687630057334899902e-01
3.686716649931943923e+00,-5.500000000000000000e+01,-2.200000000000000178e+00,7.750556468963623047e-01
3.703398625723490767e+00,-5.500000000000000000e+01,-2.200000000000000178e+00,7.740690708160400391e-01
3.720080601515038055e+00,-5.500000000000000000e+01,-2.200000000000000178e+00,7.675586342811584473e-01
3.736762577306585342e+00,-5.500000000000000000e+01,-2.200000000000000178e+00,7.655213475227355957e-01
3.753444553098132630e+00,-5.500000000000000000e+01,-2.200000000000000178e+00,7.655148506164550781e-01
3.770126528889679918e+00,-5.500000000000000000e+01,-2.200000000000000178e+00,7.703108787536621094e-01
3.786808504681227205e+00,-5.500000000000000000e+01,-2.200000000000000178e+00,7.753587961196899414e-01
3.803490480472774493e+00,-5.500000000000000000e+01,-2.200000000000000178e+00,7.755081057548522949e-01
3.820172456264321781e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.688668966293334961e-01
3.836854432055869069e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.659397721290588379e-01
3.853536407847416356e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.668683528900146484e-01
3.870218383638963644e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.689428925514221191e-01
3.886900359430510932e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.704850435256958008e-01
3.903582335222058219e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.694693803787231445e-01
3.920264311013605507e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.692001461982727051e-01
3.936946286805152795e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.688810229301452637e-01
3.953628262596699638e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.685694098472595215e-01
3.970310238388246926e+00,-5.500000000000000000e+01,-2.200000000000000178e+00,7.621276378631591797e-01
3.986992214179794214e+00,-5.500000000000000000e+01,-2.200000000000000178e+00,7.641159892082214355e-01
4.003674189971341946e+00,-5.500000000000000000e+01,-2.200000000000000178e+00,7.633259296417236328e-01
4.020356165762889233e+00,-5.500000000000000000e+01,-2.200000000000000178e+00,7.628513574600219727e-01
4.037038141554436521e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.643346190452575684e-01
4.053720117345983809e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.635783553123474121e-01
